Millis,Ori.x,Ori.y,Ori.z,Acc.x,Acc.y,Acc.z,LAcc.x,LAcc.y,LAcc.z,Grav.x,Grav.y,Grav.z,Mag.x,Mag.y,Mag.z,Gyro.x,Gyro.y,Gyro.z,Euler.x,Euler.y,Euler.z,Quat.w,Quat.x,Quat.y,Quat.z,Speed,Direction,VoltageIn,VoltageEngine,sp1,sp2,sp3,sp4,SR,PID_In,PID_Out,P,I,D,IR
6913,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 3, 3, 3, 3, 15.00, 51.60, 2.50, 1.00, 0.00, 
6923,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 3, 3, 3, 3, 15.00, 51.75, 2.50, 1.00, 0.00, 
6933,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 3, 3, 3, 3, 15.00, 51.90, 2.50, 1.00, 0.00, 
6943,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 3, 3, 3, 4, 16.00, 49.54, 2.50, 1.00, 0.00, 
6953,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 3, 3, 4, 3, 16.00, 49.68, 2.50, 1.00, 0.00, 
6963,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 3, 4, 3, 3, 16.00, 49.82, 2.50, 1.00, 0.00, 
6970, 112.75, -3.37, -174.94, -1.65, 2.33, -10.18, -1.07, 1.47, -0.42, -0.58, 0.85, -9.75, -6.37, -60.19, -4.69, 0.00, 0.01, 0.01, 112.75, -3.37, -174.94, 0.05, 0.83, 0.55, -0.00, 22, 112, 416, 11, 
6999,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 4, 3, 3, 4, 17.00, 47.45, 2.50, 1.00, 0.00, 
7009,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 4, 3, 3, 4, 3, 17.00, 47.58, 2.50, 1.00, 0.00, 
7019,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 3, 4, 3, 3, 16.00, 50.22, 2.50, 1.00, 0.00, 
7029,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 4, 3, 3, 3, 16.00, 50.36, 2.50, 1.00, 0.00, 
7039,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 4, 3, 3, 3, 3, 16.00, 50.50, 2.50, 1.00, 0.00, 
7049,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 3, 3, 3, 4, 16.00, 50.64, 2.50, 1.00, 0.00, 
7059,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 3, 3, 4, 3, 16.00, 50.78, 2.50, 1.00, 0.00, 
